execution_key	source_id	report_fqcn	runner	lane	variant_key	db_kind	infra_kind	execution_step	required	owner	optional_reason	review_at
v934|8:surefire|4:unit|4:unit|80:com.foggyframework.dataset.db.model.engine.compose.runtime.SuspensionManagerTest	v934-src|119:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/compose/runtime/SuspensionManagerTest.java	com.foggyframework.dataset.db.model.engine.compose.runtime.SuspensionManagerTest	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|87:com.foggyframework.dataset.db.model.engine.compose.sandbox.ComposeSandboxErrorCodesTest	v934-src|126:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/compose/sandbox/ComposeSandboxErrorCodesTest.java	com.foggyframework.dataset.db.model.engine.compose.sandbox.ComposeSandboxErrorCodesTest	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|95:com.foggyframework.dataset.db.model.engine.compose.sandbox.ComposeSandboxViolationExceptionTest	v934-src|134:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/compose/sandbox/ComposeSandboxViolationExceptionTest.java	com.foggyframework.dataset.db.model.engine.compose.sandbox.ComposeSandboxViolationExceptionTest	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|76:com.foggyframework.dataset.db.model.engine.compose.sandbox.SandboxLayerATest	v934-src|115:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/compose/sandbox/SandboxLayerATest.java	com.foggyframework.dataset.db.model.engine.compose.sandbox.SandboxLayerATest	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|76:com.foggyframework.dataset.db.model.engine.compose.sandbox.SandboxLayerBTest	v934-src|115:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/compose/sandbox/SandboxLayerBTest.java	com.foggyframework.dataset.db.model.engine.compose.sandbox.SandboxLayerBTest	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|76:com.foggyframework.dataset.db.model.engine.compose.sandbox.SandboxLayerCTest	v934-src|115:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/compose/sandbox/SandboxLayerCTest.java	com.foggyframework.dataset.db.model.engine.compose.sandbox.SandboxLayerCTest	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|76:com.foggyframework.dataset.db.model.engine.compose.schema.AliasExtractorTest	v934-src|115:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/compose/schema/AliasExtractorTest.java	com.foggyframework.dataset.db.model.engine.compose.schema.AliasExtractorTest	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|92:com.foggyframework.dataset.db.model.engine.compose.schema.AliasExtractorTest$AliasExtraction	v934-src|115:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/compose/schema/AliasExtractorTest.java	com.foggyframework.dataset.db.model.engine.compose.schema.AliasExtractorTest$AliasExtraction	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|105:com.foggyframework.dataset.db.model.engine.compose.schema.AliasExtractorTest$AsInsideIdentifierNotMatched	v934-src|115:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/compose/schema/AliasExtractorTest.java	com.foggyframework.dataset.db.model.engine.compose.schema.AliasExtractorTest$AsInsideIdentifierNotMatched	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|92:com.foggyframework.dataset.db.model.engine.compose.schema.AliasExtractorTest$BareColumnNames	v934-src|115:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/compose/schema/AliasExtractorTest.java	com.foggyframework.dataset.db.model.engine.compose.schema.AliasExtractorTest$BareColumnNames	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
